16.390940465004167 0.0 -2.1756181811563664
|[ 16.39094047   0.          -2.17561818]| |[ 16.38268832   0.52005067  -2.17561818]| |[ 16.3579402    1.03957769  -2.17561818]| |[ 16.31672102   1.55805795  -2.17561818]| |[ 16.25907228   2.07496937  -2.17561818]| |[ 16.18505204   2.58979147  -2.17561818]| |[ 16.09473482   3.10200588  -2.17561818]| |[ 15.98821156   3.61109683  -2.17561818]| |[ 15.86558954   4.11655171  -2.17561818]| |[ 15.72699221   4.61786157  -2.17561818]| |[ 15.57255913   5.11452163  -2.17561818]| |[ 15.4024458    5.60603181  -2.17561818]| |[ 15.21682352   6.09189718  -2.17561818]| |[ 15.01587919   6.57162854  -2.17561818]| |[ 14.79981513   7.04474282  -2.17561818]| |[ 14.56884892   7.51076364  -2.17561818]| |[ 14.32321311   7.96922176  -2.17561818]| |[ 14.06315505   8.41965554  -2.17561818]| |[ 13.78893657   8.86161145  -2.17561818]| |[ 13.50083381   9.29464447  -2.17561818]| |[ 13.19913685   9.71831857  -2.17561818]| |[ 12.88414948  10.13220714  -2.17561818]| |[ 12.55618886  10.53589344  -2.17561818]| |[ 12.21558523  10.92897099  -2.17561818]| |[ 11.86268153  11.31104399  -2.17561818]| |[ 11.49783312  11.68172773  -2.17561818]| |[ 11.12140737  12.04064896  -2.17561818]| |[ 10.7337833   12.38744628  -2.17561818]| |[ 10.33535123  12.72177049  -2.17561818]| |[  9.92651233  13.04328495  -2.17561818]| |[  9.50767827  13.35166593  -2.17561818]| |[  9.07927079  13.64660292  -2.17561818]| |[  8.64172125  13.92779893  -2.17561818]| |[  8.19547023  14.19497083  -2.17561818]| |[  7.74096707  14.4478496   -2.17561818]| |[  7.27866941  14.68618061  -2.17561818]| |[  6.80904275  14.90972388  -2.17561818]| |[  6.33255995  15.11825432  -2.17561818]| |[  5.84970081  15.31156196  -2.17561818]| |[  5.36095151  15.48945216  -2.17561818]| |[  4.86680419  15.65174579  -2.17561818]| |[  4.36775642  15.79827944  -2.17561818]| |[  3.86431068  15.92890556  -2.17561818]| |[  3.3569739   16.04349262  -2.17561818]| |[  2.84625694  16.14192525  -2.17561818]| |[  2.33267404  16.22410432  -2.17561818]| |[  1.81674234  16.2899471   -2.17561818]| |[  1.29898132  16.33938728  -2.17561818]| |[  0.77991235  16.37237509  -2.17561818]| |[  0.26005807  16.3888773   -2.17561818]| |[ -0.26005807  16.3888773   -2.17561818]| |[ -0.77991235  16.37237509  -2.17561818]| |[ -1.29898132  16.33938728  -2.17561818]| |[ -1.81674234  16.2899471   -2.17561818]| |[ -2.33267404  16.22410432  -2.17561818]| |[ -2.84625694  16.14192525  -2.17561818]| |[ -3.3569739   16.04349262  -2.17561818]| |[ -3.86431068  15.92890556  -2.17561818]| |[ -4.36775642  15.79827944  -2.17561818]| |[ -4.86680419  15.65174579  -2.17561818]| |[ -5.36095151  15.48945216  -2.17561818]| |[ -5.84970081  15.31156196  -2.17561818]| |[ -6.33255995  15.11825432  -2.17561818]| |[ -6.80904275  14.90972388  -2.17561818]| |[ -7.27866941  14.68618061  -2.17561818]| |[ -7.74096707  14.4478496   -2.17561818]| |[ -8.19547023  14.19497083  -2.17561818]| |[ -8.64172125  13.92779893  -2.17561818]| |[ -9.07927079  13.64660292  -2.17561818]| |[ -9.50767827  13.35166593  -2.17561818]| |[ -9.92651233  13.04328495  -2.17561818]| |[-10.33535123  12.72177049  -2.17561818]| |[-10.7337833   12.38744628  -2.17561818]| |[-11.12140737  12.04064896  -2.17561818]| |[-11.49783312  11.68172773  -2.17561818]| |[-11.86268153  11.31104399  -2.17561818]| |[-12.21558523  10.92897099  -2.17561818]| |[-12.55618886  10.53589344  -2.17561818]| |[-12.88414948  10.13220714  -2.17561818]| |[-13.19913685   9.71831857  -2.17561818]| |[-13.50083381   9.29464447  -2.17561818]| |[-13.78893657   8.86161145  -2.17561818]| |[-14.06315505   8.41965554  -2.17561818]| |[-14.32321311   7.96922176  -2.17561818]| |[-14.56884892   7.51076364  -2.17561818]| |[-14.79981513   7.04474282  -2.17561818]| |[-15.01587919   6.57162854  -2.17561818]| |[-15.21682352   6.09189718  -2.17561818]| |[-15.4024458    5.60603181  -2.17561818]| |[-15.57255913   5.11452163  -2.17561818]| |[-15.72699221   4.61786157  -2.17561818]| |[-15.86558954   4.11655171  -2.17561818]| |[-15.98821156   3.61109683  -2.17561818]| |[-16.09473482   3.10200588  -2.17561818]| |[-16.18505204   2.58979147  -2.17561818]| |[-16.25907228   2.07496937  -2.17561818]| |[-16.31672102   1.55805795  -2.17561818]| |[-16.3579402    1.03957769  -2.17561818]| |[-16.38268832   0.52005067  -2.17561818]| |[ -1.63909405e+01   2.00731128e-15  -2.17561818e+00]|
0.0 0.031733259127169629 0.063466518254339258 0.095199777381508893 0.12693303650867852 0.15866629563584814 0.19039955476301779 0.22213281389018741 0.25386607301735703 0.28559933214452665 0.31733259127169627 0.3490658503988659 0.38079910952603557 0.41253236865320519 0.44426562778037482 0.47599888690754444 0.50773214603471406 0.53946540516188368 0.5711986642890533 0.60293192341622293 0.63466518254339255 0.66639844167056217 0.69813170079773179 0.72986495992490141 0.76159821905207115 0.79333147817924077 0.82506473730641039 0.85679799643358001 0.88853125556074963 0.92026451468791926 0.95199777381508888 0.9837310329422585 1.0154642920694281 1.0471975511965979 1.0789308103237674 1.1106640694509371 1.1423973285781066 1.1741305877052763 1.2058638468324459 1.2375971059596156 1.2693303650867851 1.3010636242139548 1.3327968833411243 1.3645301424682941 1.3962634015954636 1.4279966607226333 1.4597299198498028 1.4914631789769726 1.5231964381041423 1.5549296972313118 1.5866629563584815 1.618396215485651 1.6501294746128208 1.6818627337399903 1.71359599286716 1.7453292519943295 1.7770625111214993 1.8087957702486688 1.8405290293758385 1.872262288503008 1.9039955476301778 1.9357288067573473 1.967462065884517 1.9991953250116865 2.0309285841388562 2.0626618432660258 2.0943951023931957 2.1261283615203652 2.1578616206475347 2.1895948797747042 2.2213281389018742 2.2530613980290437 2.2847946571562132 2.3165279162833827 2.3482611754105527 2.3799944345377222 2.4117276936648917 2.4434609527920612 2.4751942119192312 2.5069274710464007 2.5386607301735702 2.5703939893007401 2.6021272484279097 2.6338605075550792 2.6655937666822487 2.6973270258094186 2.7290602849365881 2.7607935440637577 2.7925268031909272 2.8242600623180971 2.8559933214452666 2.8877265805724361 2.9194598396996057 2.9511930988267756 2.9829263579539451 3.0146596170811146 3.0463928762082846 3.0781261353354541 3.1098593944626236 3.1415926535897931
all
